Scavenger free,,Co,,Cr,,Mn,
X,Y,X,Y,X,Y,X,Y
0.000501253132832058,0.959449147803893,-2.7755575615628914e-17,0.95748031496063,0.000501253132832058,0.9535436359928694,0.000501253132832058,0.9555121399298773
0.06065162907268165,0.8811421598615963,0.02005012531328318,0.9102493767226466,0.024561403508771895,0.895291706957683,0.016541353383458635,0.9063100665048449
0.08220551378446112,0.8693452792085201,0.040100250626566386,0.8866404857287576,0.05012531328320799,0.8708990323577974,0.04010025062656644,0.8862467849413562
0.10175438596491221,0.861484090804439,0.05764411027568922,0.8728724698886324,0.07468671679197997,0.8551671172682362,0.05964912280701751,0.8720863839388499
0.1182957393483709,0.852833527388024,0.07919799498746866,0.8614692900229577,0.09924812030075192,0.8433722100526908,0.07969924812030071,0.8602885165670082
0.14185463659147862,0.8449749702339839,0.09724310776942358,0.8528197133253081,0.12581453634085216,0.8319723192495676,0.09724310776942358,0.8524260125379066
0.16140350877192983,0.8382948841921077,0.11779448621553884,0.8414158756471232,0.15037593984962405,0.8217522151836285,0.1182957393483709,0.8414162045533783
0.18095238095238092,0.8312210973628297,0.1358395989974937,0.8355222044612846,0.17543859649122806,0.8131072431735508,0.13583959899749376,0.8359159052486861
0.1994987468671679,0.8253277550832463,0.1573934837092732,0.827662331682224,0.2005012531328319,0.8048559719508747,0.15789473684210525,0.8276626605884791
0.21804511278195482,0.8190407120162613,0.1979949874686716,0.8162716502542446,0.2260651629072684,0.7966050296344537,0.1829573934837092,0.8209861925154094
0.2375939849624059,0.8115732243995817,0.23508771929824568,0.8009416586084636,0.2501253132832081,0.789534202961472,0.20852130325814533,0.8111604470493821
0.25764411027568934,0.8056808688387636,0.281704260651629,0.7899486248429474,0.275187969924812,0.7816766325261975,0.21954887218045116,0.8080180766877825
0.2796992481203006,0.8001835296903678,0.33834586466165406,0.776206263690723,0.29924812030075165,0.7757869082154205,0.2571428571428571,0.7946569178852645
0.29824561403508776,0.7946838881981859,0.36190476190476173,0.7687414073240846,0.32531328320802,0.7683236963800579,0.27719298245614027,0.78718975917484
0.32130325814536354,0.7887935060748986,0.3784461152882205,0.7636341509942837,0.3498746867167919,0.7608594978259298,0.29874686716791976,0.7812983903327875
0.34185463659147874,0.7829014794203357,0.3949874686716791,0.7601016978140892,0.3739348370927318,0.7541823719403498,0.3253132832080201,0.77383550740368
0.03809523809523807,0.894119485064367,0.42105263157894735,0.7538195883409311,0.40100250626566414,0.7467198179174973,0.34736842105263155,0.7679444674678825
0.019548872180451093,0.9137923549030056,0.4426065162907268,0.747534518711477,0.42556390977443603,0.7404367217255738,0.36741854636591476,0.7620521119070645
0.3614035087719297,0.7777961965280656,0.4576441102756892,0.7432136772377138,0.45012531328320804,0.7329725231714458,0.3889724310776942,0.7553733414902086
0.38145363408521304,0.7719038409672476,0.4771929824561403,0.7388957959202469,0.47518796992481194,0.7270834566731792,0.4140350877192982,0.7506653773541467
0.3994987468671679,0.766010169781409,0.5142857142857141,0.7286839145106863,0.5007518796992482,0.7204073175063646,0.43208020050125306,0.7443780053809065
0.42005012531328323,0.760118143126846,0.53734335839599,0.722006130812596,0.5253132832080198,0.7145179221018427,0.45563909774436084,0.7384879521638744
0.4385964912280702,0.7542248008472626,0.556390977443609,0.7216249284628896,0.549874686716792,0.7070537235477146,0.4776942355889724,0.73338431380288
0.4571428571428571,0.7483314585676792,0.5789473684210527,0.716127918220749,0.575438596491228,0.6991964820186951,0.5012531328320804,0.7263131582236432
0.4781954887218045,0.7412586584571667,0.5974937343358395,0.710628276728567,0.5994987468671679,0.6929130569205166,0.5238095238095238,0.7204224471941009
0.500250626566416,0.7357613193087706,0.6150375939849623,0.7047342766364733,0.6250626566416041,0.6850558153914971,0.5458646616541354,0.7145314072583033
0.5208020050125314,0.7302629934416094,0.6406015037593984,0.69845183825706,0.6496240601503758,0.678772719199574,0.5699248120300751,0.7094290845223294
0.5393483709273184,0.7239759503746244,0.6586466165413535,0.695707773370434,0.6756892230576442,0.6713095073642112,0.5914786967418546,0.7039314164676787
0.5624060150375946,0.7165107651017308,0.682706766917293,0.6874558443352476,0.6997493734335839,0.6634512791164264,0.6170426065162907,0.6960741749386592
0.5789473684210528,0.7082539024727174,0.7042606516290727,0.6819581762805966,0.7258145363408521,0.6544132641314573,0.6395989974937343,0.6901834639091167
0.5964912280701754,0.7031473039554268,0.7197994987468671,0.6760628605634823,0.7503759398496239,0.6461616640025261,0.6596491228070175,0.6838974075608972
0.6215538847117794,0.6909590248587348,0.7433583959899749,0.671353909708655,0.7759398496240602,0.63909182404831,0.6837092731829574,0.6776139824627186
0.6390977443609023,0.6827028200422316,0.7558897243107767,0.6654566205540099,0.800501253132832,0.6292654207697723,0.7037593984962406,0.6717216269019006
0.6571428571428571,0.674053243344582,0.782957393483709,0.6568129641689526,0.824561403508772,0.6210134917345861,0.7283208020050125,0.6630763259855679
0.6802005012531328,0.6618636486228696,0.7934837092731828,0.6520954617514917,0.8506265664160402,0.6115817759622153,0.7468671679197995,0.6567892829185826
0.700751879699248,0.64927870858248,0.8235588972431078,0.6462096843157765,0.875187969924812,0.602542774258481,0.7744360902255638,0.6501144593767887
0.718295739348371,0.6355106927423547,0.8441102756892231,0.6407113584486152,0.9007518796992482,0.5927170287924537,0.7964912280701755,0.6430423170787865
0.7363408521303259,0.6217430058084847,0.8631578947368421,0.6320624395634757,,,0.819047619047619,0.634395700537433
0.7609022556390975,0.6016803820575061,0.8781954887218044,0.6265604957275079,,,0.8395989974937343,0.6273225715206653
,,0.9017543859649122,0.6183082377860665,,,0.8621553884711779,0.619463356554115
,,0.9248120300751881,0.6096619501509681,,,0.8862155388471176,0.6100303251567241
,,0.9363408521303256,0.6010080976720016,,,0.9052631578947368,0.6013814062715848
,,0.9583959899749375,0.5931485537991963,,,0.9293233082706767,0.591554674086792
